revision,llc
step0,7.854538917541504
step1,7.7588348388671875
step2,6.31730842590332
step4,6.702689170837402
step8,5.910822868347168
step16,7.110529899597168
step32,7.18080997467041
step64,10.64995288848877
step128,10.474690437316895
step256,12.332452774047852
step512,13.247891426086426
step1000,14.464339256286621
step2000,16.35683250427246
step3000,18.240318298339844
step4000,19.921558380126953
step5000,21.8090763092041
step6000,21.65716552734375
step7000,21.558969497680664
step8000,24.485458374023438
step9000,24.61714744567871
step10000,26.069774627685547
step11000,28.328083038330078
step12000,28.52829360961914
step13000,28.204513549804688
step14000,29.50230598449707
step15000,29.473236083984375
step16000,28.280200958251953
step17000,33.76580047607422
step18000,28.961591720581055
step19000,29.955425262451172
step20000,28.96481704711914
step21000,30.727867126464844
step22000,30.47321128845215
step23000,33.6016845703125
step24000,31.665740966796875
step25000,35.51863479614258
step26000,30.541709899902344
step27000,36.59800720214844
step28000,35.90086364746094
step29000,34.42206573486328
step30000,36.9853401184082
step31000,34.643314361572266
step32000,33.702850341796875
step33000,35.56511688232422
step34000,39.286956787109375
step35000,34.06742858886719
step36000,36.672210693359375
step37000,35.341041564941406
step38000,36.261573791503906
step39000,37.882301330566406
step40000,39.24458312988281
step41000,42.07255935668945
step42000,44.41143035888672
step43000,42.9635009765625
step44000,42.504756927490234
step45000,40.35643005371094
step46000,40.076988220214844
step47000,41.87882614135742
step48000,43.50971984863281
step49000,41.651039123535156
step50000,45.8568000793457
step51000,45.43391418457031
step52000,43.62517547607422
step53000,48.529842376708984
step54000,42.94023132324219
step55000,45.00065231323242
step56000,40.835906982421875
step57000,47.6980094909668
step58000,45.7813835144043
step59000,44.43854522705078
step60000,44.4019775390625
step61000,49.98686599731445
step62000,46.67625045776367
step63000,50.492427825927734
step64000,51.46784210205078
step65000,51.25300979614258
step66000,51.91206741333008
step67000,50.12337112426758
step68000,51.01547622680664
step69000,50.9006233215332
step70000,52.1466064453125
step71000,53.764591217041016
step72000,57.030303955078125
step73000,57.41124725341797
step74000,58.629947662353516
step75000,56.7424201965332
step76000,63.81825256347656
step77000,62.45097351074219
step78000,70.00492858886719
step79000,63.47406768798828
step80000,67.61558532714844
step81000,71.49730682373047
step82000,72.67491149902344
step83000,76.12091064453125
step84000,76.71226501464844
step85000,82.69320678710938
step86000,87.08088684082031
step87000,94.85452270507812
step88000,89.42768859863281
step89000,100.58084869384766
step90000,102.29193115234375
step91000,98.43651580810547
step92000,113.41889190673828
step93000,110.72254180908203
step94000,109.53422546386719
step95000,120.89685821533203
step96000,126.03768920898438
step97000,124.08186340332031
step98000,135.2236328125
step99000,130.92820739746094
step100000,134.34280395507812
